AccessionID	NumChromosomal	NumPlasmid	NumExtraChromosomal	Length_DNA	NumProteins	GC	SequenceType	Phylogroup	Serotype	Remarks
GCF_000005845.2	1	0	0	4641652	4285	50.79	ST10	A	O16:H48	Keep
GCF_000007445.1	1	0	0	5231428	4613	50.48	ST73	B2	O6:H1	Keep
GCF_000008865.2	1	2	0	5594605	5155	50.48	ST11	E	O157:H7	Keep
GCF_000009565.1	1	0	0	4558947	4077	50.83	ST93	A	O7:H-	GCF_000009565.1 has been dropped because has ANI=100 to GCF_000022665.1
GCF_000010245.2	1	0	0	4646332	4180	50.80	ST10	A	O16:H48	Keep
GCF_000010385.1	1	6	0	5155626	4769	50.74	ST156	B1	O173:H28	Keep
GCF_000010485.1	1	1	0	4839683	4365	50.75	ST131	B2	O16:H5	Keep
GCF_000010745.1	1	1	0	5524860	4987	50.63	ST17	B1	O103:H2	Keep
GCF_000010765.1	1	5	0	5766081	5229	50.44	ST16	B1	O111:H8	Keep
GCF_000013265.1	1	1	0	5179971	4742	50.61	ST95	B2	Unk:H7	Keep
GCF_000013305.1	1	0	0	4938920	4323	50.52	ST127	B2	O6:H31	Keep
GCF_000014845.1	1	2	0	5497653	5061	50.34	ST95	B2	O1:H7	Keep
GCF_000017745.1	1	6	0	5249288	4677	50.56	ST1132	B1	O-:H28	Keep
GCF_000017765.1	1	0	0	4643538	4141	50.82	ST46	A	O9:H4	Keep
GCF_000017985.1	1	0	0	4629812	4138	50.77	ST93	A	O7:H-	Keep
GCF_000019385.1	1	0	0	4746218	4238	50.87	ST3021	A	O146:H20	GCF_000019385.1 has been dropped because has ANI=99.9984 to GCF_003591595.1
GCF_000019425.1	1	0	0	4686137	4088	50.78	ST1060	A	O16:H48	Keep
GCF_000019645.1	1	4	0	5215377	4669	50.49	ST354	F	O153:H34	Keep
GCF_000021125.1	1	2	0	5704171	5123	50.41	ST11	E	O157:H7	Keep
GCF_000022225.1	1	1	0	5622737	5082	50.46	ST11	E	O157:H7	GCF_000022225.1 has been dropped because has ANI=99.9922 to GCF_000021125.1
GCF_000022345.1	1	0	0	4578159	4121	50.79	ST10	A	O16:H48	Keep
GCF_000022665.1	1	0	0	4558953	4077	50.83	ST93	A	O7:H-	Keep
GCF_000023365.1	1	0	0	4630707	4132	50.81	ST1060	A	O16:H48	Keep
GCF_000023665.1	1	0	0	4570938	4097	50.84	ST93	A	O7:H48	Keep
GCF_000025165.1	1	1	0	5452353	4980	50.50	ST335	E	O55:H7	Keep
GCF_000025745.1	1	0	0	5108383	4708	50.70	ST95	B2	Unk:H7	Keep
GCF_000026245.1	1	0	0	5154862	4654	50.66	ST678	B1	O104:H4	Keep
GCF_000026265.1	1	0	0	4700560	4250	50.79	ST1128	B1	O8:H19	Keep
GCF_000026285.1	1	1	0	5166121	4755	50.65	ST95	B2	O45:H7	Keep
GCF_000026345.1	1	0	0	5132068	4506	50.63	ST62	F	O7:H45	Keep
GCF_000026545.1	1	2	0	5069678	4659	50.52	ST15	B2	O127:H6	Keep
GCF_000027125.1	1	1	0	5355323	4889	50.54	ST414	D	Unk:H18	Keep
GCF_000091005.1	1	4	0	5855531	5356	50.65	ST21	B1	O26:H11	Keep
GCF_000147855.2	1	2	0	5029323	4651	50.81	ST1079	B1	O6:H49	Keep
GCF_000148365.1	1	1	0	5132961	4616	50.58	ST73	B2	O25:H1	Keep
GCF_000148605.1	1	1	0	5107563	4554	50.59	ST643	B2	Unk:H7	Keep
GCF_000167875.2	1	4	1	5445710	4901	50.69	ST381	B1	O111:H9	Keep
GCF_000183345.1	1	1	0	4894879	4480	50.69	ST135	B2	O83:H1	Keep
GCF_000210475.1	1	4	0	5325888	4768	50.69	ST48	A	O78:H11	Keep
GCF_000212715.2	1	5	0	5666764	5270	50.76	ST100	A	O149:H10	Keep
GCF_000219515.2	1	3	0	5156873	4661	50.70	ST5147	D	O11:H15	Keep
GCF_000227625.1	1	4	0	5378729	4829	50.54	ST62	F	O7:H45	Keep
GCF_000233875.1	1	0	0	5038386	4504	50.56	ST73	B2	O6:H1	GCF_000233875.1 has been dropped because has ANI=99.9998 to GCF_000233895.1
GCF_000233895.1	1	0	0	5038386	4503	50.56	ST73	B2	O6:H1	Keep
GCF_000245515.1	1	5	0	5448306	4901	50.40	ST335	E	O55:H7	Keep
GCF_000258025.1	1	1	0	5027172	4401	50.78	ST1079	B1	O6:H49	Keep
GCF_000258145.1	1	2	0	5005347	4640	50.82	ST1079	B1	O6:H49	Keep
GCF_000262125.1	1	2	0	5516736	4963	50.40	ST11	E	O157:H7	Keep
GCF_000270105.1	1	0	0	4621430	4113	50.83	ST1060	A	O16:H48	Keep
GCF_000284495.1	1	0	0	4773108	4386	50.70	ST135	B2	O83:H1	Keep
GCF_000285655.3	1	2	0	5249449	4791	50.81	ST131	B2	O25:H4	GCF_000285655.3 has been dropped because has ANI=99.9932 to GCF_001469815.1
GCF_000299255.1	1	3	0	5438174	4925	50.59	ST678	B1	O104:H4	GCF_000299255.1 has been dropped because has ANI=99.9919 to GCF_002209105.2
GCF_000299455.1	1	3	0	5437407	4928	50.65	ST678	B1	O104:H4	Keep
GCF_000299475.1	1	2	0	5389708	4846	50.67	ST678	B1	O104:H4	Keep
GCF_000332755.1	1	0	0	4798435	4363	50.68	ST23	C	O78:H9	Keep
GCF_000464955.2	1	1	0	5045919	4600	50.65	ST672	B1	O104:H21	Keep
GCF_000468515.1	1	0	0	4835601	4363	50.85	ST1079	B1	O6:H49	Keep
GCF_000493755.1	1	5	0	5308284	4858	50.76	ST131	B2	O25:H4	GCF_000493755.1 has been dropped because has ANI=99.9946 to GCF_001593565.1
GCF_000499485.1	1	0	0	4527247	4050	50.78	ST10	A	O16:H48	GCF_000499485.1 has been dropped because has ANI=99.9953 to GCF_000022345.1
GCF_000520035.1	1	2	0	5737294	5099	50.66	ST32	D	O145:H28	Keep
GCF_000520055.1	1	2	0	5559008	4985	50.56	ST6130	D	O145:H28	GCF_000520055.1 has been dropped because has ANI=99.9982 to GCF_000662395.1
GCF_000597845.1	1	0	0	4758629	4254	51.11	ST540	A	Unk:H30	Keep
GCF_000599625.1	1	0	0	4807977	4282	51.04	ST540	A	Unk:H30	GCF_000599625.1 has been dropped because has ANI=99.9919 to GCF_000599645.1
GCF_000599645.1	1	0	0	4875682	4280	51.02	ST540	A	Unk:H30	Keep
GCF_000599665.1	1	0	0	5054509	4465	50.65	ST6131	D	O-:H41	Keep
GCF_000599685.1	1	0	0	4998910	4397	50.65	ST6131	D	O-:H41	Keep
GCF_000599705.1	1	0	0	5090442	4343	50.78	ST6131	D	O-:H41	Keep
GCF_000662395.1	1	2	0	5559014	4984	50.56	ST6130	D	O145:H28	Keep
GCF_000671295.1	1	2	0	5737293	5094	50.66	ST32	D	O145:H28	GCF_000671295.1 has been dropped because has ANI=99.9988 to GCF_000520035.1
GCF_000714595.1	1	0	0	5441200	4518	50.58	ST73	B2	O6:H1	Keep
GCF_000725305.1	1	0	0	4718545	4228	50.75	ST10	A	O16:H48	Keep
GCF_000730345.1	1	2	0	5655941	5116	50.39	ST11	E	O157:H7	Keep
GCF_000732965.1	1	1	0	5639399	4986	50.43	ST11	E	O157:H7	Keep
GCF_000743255.1	1	2	0	5203440	4697	50.43	ST73	B2	O6:H1	GCF_000743255.1 has been dropped because has ANI=99.995 to GCF_017357505.1
