AccessionID	SequenceType	Phylogroup	Count_Virulence	Count_Antibiotics	VirulenceCategory
GCF_000005845.2	ST10	A	4	0	1
GCF_000007445.1	ST73	B2-nonST131	33	0	4
GCF_000008865.2	ST11	E	27	0	4
GCF_000010245.2	ST10	A	4	0	1
GCF_000010485.1	ST131	B2-ST131	13	0	2
GCF_000013265.1	ST95	B2-nonST131	26	0	4
GCF_000013305.1	ST127	B2-nonST131	23	0	4
GCF_000014845.1	ST95	B2-nonST131	26	3	4
GCF_000017765.1	ST46	A	2	0	1
GCF_000017985.1	ST93	A	6	0	2
GCF_000019425.1	ST1060	A	4	0	1
GCF_000019645.1	ST354	F	24	7	4
GCF_000021125.1	ST11	E	25	0	4
GCF_000022345.1	ST10	A	4	0	1
GCF_000022665.1	ST93	A	5	0	1
GCF_000023365.1	ST1060	A	4	1	1
GCF_000023665.1	ST93	A	3	1	1
GCF_000025165.1	ST335	E	19	0	3
GCF_000025745.1	ST95	B2-nonST131	20	0	3
GCF_000026285.1	ST95	B2-nonST131	26	0	4
GCF_000026345.1	ST62	F	20	0	3
GCF_000026545.1	ST15	B2-nonST131	19	1	3
GCF_000027125.1	ST414	D	32	3	4
GCF_000148365.1	ST73	B2-nonST131	33	0	4
GCF_000148605.1	ST643	B2-nonST131	26	0	4
GCF_000183345.1	ST135	B2-nonST131	21	5	3
GCF_000210475.1	ST48	A	9	0	2
GCF_000212715.2	ST100	A	10	9	2
GCF_000219515.2	ST5147	D	19	9	3
GCF_000227625.1	ST62	F	24	0	4
GCF_000233895.1	ST73	B2-nonST131	30	0	4
GCF_000245515.1	ST335	E	19	2	3
GCF_000262125.1	ST11	E	27	0	4
GCF_000270105.1	ST1060	A	4	1	1
GCF_000284495.1	ST135	B2-nonST131	14	5	3
GCF_000332755.1	ST23	C	5	0	1
GCF_000520035.1	ST32	D	28	5	4
GCF_000597845.1	ST540	A	4	3	1
GCF_000599645.1	ST540	A	4	3	1
GCF_000599665.1	ST6131	D	6	0	2
GCF_000599685.1	ST6131	D	6	0	2
GCF_000599705.1	ST6131	D	6	0	2
GCF_000662395.1	ST6130	D	25	0	4
GCF_000714595.1	ST73	B2-nonST131	30	0	4
GCF_000725305.1	ST10	A	5	1	1
GCF_000730345.1	ST11	E	25	0	4
GCF_000732965.1	ST11	E	27	0	4
GCF_000784925.1	ST648	F	16	17	3
GCF_000800215.1	ST10	A	3	1	1
GCF_000803705.1	ST11	E	25	0	4
GCF_000813165.1	ST140*	B2-nonST131	25	2	4
GCF_000814145.2	ST10	A	5	18	1
GCF_000819645.1	ST88	C	19	2	3
GCF_000827105.1	ST1011	D	8	15	2
